,Review,Analysis
79,shangchi one marvel film feel like full package lot brilliant trademark mcu humour tongue cheek quip exceptional action ill get bite also solid connection rest mcu balance well stand alone film lay hint go fit wider story phase ill start action shangchi famed quite simply awesome best hand hand combat mcu see sequence steep chinese culture rhythmic style crouch tiger hide dragon weave fabric film cast brilliant simu liu fantastic lead id happy see grow big player mcu awkwafina expect fantastic add much effortless humour film really love shangchi well explore interest antagonist cant always say marvel film phone villain shangchi doesnt come close fall trap tony leung really sell role give lot power emotion term plot fantastic job introduce u pretty obscure character lot exposition plenty flashback perhaps many appreciate lot background content fee u cant grumble much love plot mystical magical much feel like epic adventure yet marvel studio knock park,Positive
80,one best origin mcu film good story great complex family relationship identity good balance action comedy really good fight scene simu liu awkwafina tony leung difficult decide best act really strong around also mention ben kingsley always funny best thing say duration didnt even feel like mcu film negative much cgi huge problem marvel disney use green screen almost every scene like cgi seriously scene would look much better practical effect others would look way better shoot location,Positive
81,best superhero movie ever make shang chi epic every level,Positive
82,get admit wasnt particularly blow away anything movie might even say bore dont get wrong spectacle action great location nice costume design sound design etc overall soft release worth see theater specially followup endgame biggest problem underwrite lead muddle personality reason cover story devoid charm personality good dialogue next issue humor didnt land support lead awkwafina isnt normal loud self thats suppose funny every time open mouth role supportive little dramatic question even doesnt ultimately matter another forgettable character give importance role deserve finally third act weak there balance problem stake cant feel tension weight action there lot superficial cant end feel like safe plot write way appeal china consider mandarin portray end appeal one specific certainly doesnt feel like marvel movie bind happen introduce different aspect narrative also doesnt feel like comic book generic,Positive
83,marvel latest feature introduce cinephiles shaun aka shangchi simu liu martial art master character create steve englehart jim starlin first appear marvel publication back begin first many gorgeously choreograph shoot sequence introduce shangchis father xu wenwu tony chiuwai leung mother li fala chen also entail awesome power ten ring xu currently possession follow heartpounding ridiculously entertain adventure movie true heart fill beautiful performance least everyone already mention include awkwafina shauns best friend katy menger zhang sister xialing there plenty adore screen even get truly aweinspiring action set piece best fight scene ive see recent memory cretton short term mercy quickly become one favourite director produce three incredible piece cinema last year great see passion storytelling independent spirit still shin latest also stay true marvel fan base really expect certain character show make really comical moment visual effect course stun make stand theyre incorporate beautiful landscape enhance feel authentically experience shauns heritage get wrap culture filmmaker wonderfully explore origin story make creature design also incredible integral element make final sequence breathtaking please favour see biggest screen possible please support local cinema stay safe friend,Positive
84,one studio bring joke dazzle visuals good character development one hour dont care character dysfunctional drama family choose one see million time first time felt sleepy action movie feel like waste money despite avail super tuesday offer suicide squad far much better term storyboard overrate like black panther whats next shangchi origin,Positive
85,,Neutral
86,,Neutral
87,,Neutral
88,without doubt best action sequence marvel film best action scene one best marvel film also great story great act love film,Positive
89,shangchi legend ten ring new superhero movie marvel film series film direct write part destin daniel cretton director short term mercy film shaun simu liu try put past behind want enjoy life best friend katy awkwafina mysterious organization ten ring find shaun force confront past must take birth name shangchi protect katy sister xialing menger zhang action ten ring leader xu wenwu mandarin tony chiuwai leung also shaun father film marvel first superhero film star asian actor furthermore film also bring asian culture fight style well use movie like crouch tiger hide dragon example fan film recognize moment refer back film portray fight scene character fight asian fight style well entertainingly art asian fight style somewhat overshadow character use supernatural power film fight scene happen le excite entertain scene character fight normal way one point film also feel like youre watch liveaction mix asian animation show pokÃ©mon avatar last airbender scene provide extra comedy especially entertain younger viewer movie costume film cast also help emergence asian culture film visual effect also put good use film except scene see use green screen background fortunately disturb film creature also return start film bite redundant action scene 3d effect film act well do film cast simu liu take twitter ask marvel play part party quickly make good deal simu liu come across good charismatic lead film convey action sequence beautifully along awkwafina also good chemistry film together provide good appropriate humor comedy also doesnt overshadow dramatic aspect film sometimes happen tony chiuwai leung also portray villain film good sympathetic way viewer understand film also first englishlanguage role american film although first time still deliver good appropriate act menger zhang get much time film bite le good present film,Positive
90,good entertain bollywood like load action preferably watch biggest screen available,Positive
91,let agree bad movie multiple point view depend lot visual effect main character funny nice story generate much interest see fight many time better way almost film produce hong kong indonesia thailand last twenty year thing save film karaoke scene unexpectedly welcome rest routine mediocre tire bland,Positive
92,think film good break usual marvel super hero film much traditional martial art film combine modern aspect concept good film go along great pace good humour well would really recommend,Positive
93,movie first start felt like watch foreign film english chinese english subtitle didnt know expect movie later cast start speak english awesome fight scene kick omg excite fight choreography unbelievable good jackie chan movie storyline alright cg good use lot chinese culture tradition costume symbol look forward see next sequel,Positive
94,shangchi legend ten ring follow formula thats present audience typical marvel film say shangchi give exactly expect better worse trick movie sleeve surprise film deliver standard wellexecuted superhero film whether enjoy completely one sick standard marvel setup admit superhero fatigue unfortunately shangchi follow typical superhero setup mean extremely bland film character plot spark light along tease compel movie best part shangchi involve tony chiuwai leung play surprisingly complex sympathetic villain star scene echo badassery asian gangster flick one scene take room full villain intense wish movie wouldve follow plot line instead subpar narrative leave yes tony great everything else shangchi mediocre include titular hero ironman spiderman black widow hulk dr strange marvel superheroes immediately picture distinctiveness character black widow sexy badass assassin spiderman naive pure hearted schoolboy ironman cocky billionaire shangchi he um actually thats exactly youll ask shangchi barely personality film character dull forgettable say way slight simu liu he fine role script favor come character awkwafina movie honestly excite see good farewell wow excitement lead astray fun entertain prostate exam mean sweet jesus grate consider stuff popcorn ear didnt listen speak anymore joke werent funny dialogue awful im sure improvise character plain annoy shangchi also bore film stuff poor dialogue load exposition nod theatre lot line cheesy poorly deliver find roll eye shangchi also amount bland uncreative edit film present lot marvel film character walk room room talk subject subject fun entertain let face horrendously bore okay youre will look past action good get action first act movie two good action sequence youve see trailer bus fight scaffold fight hope youre big fan kungfu two fight longer get wellchoreographed action instead treat horrific cgi battle im talk ringonring action unnecessary giant monster fight place purpose movie bore watch mean basically first ever kungfu superhero movie decide include two scene kungfu creator think shangchi legend ten ring exercise disappointment instead attempt something different film exactly youd expect hey love kind movie youll likely love film thats great hope youre tire exact formula superhero movie follow shangchi wont manage lull superhero fatigue,Positive
95,good action movie firstly scenario pretty good nothing special little bite predictable secondly cast awesome really like akwafina role funny also like simu lu main character charismatic person favourite one character past film mcu dont want give spoiler thirdly like atmosphere ancient chinese culture show want fourthly fight good nice mcu film,Positive
96,marvel supply fan fast fresh funny superhero adventure unconditionally perfect amount exhilarate action fascinate character enthusiasm noticeably kick sustainable write appeal plot arrange excellent protagonist prop secondly director destin daniel cretton recieves role brilliantly execute visuallyawakening tale there doubt real magic belong epic sequence fantastical action stylish martial art battle superb effect shangchis epic movie live hype genre however ridiculous unnecessary detail also significant announce fact amount action perfect there much point tedious le point remember dialogue marvel flick usually include several moment bland dialogue superheroes occasionally grow fairly unexciting surprisingly grip entertain adventure rule alongside massivelypraised action humour heartpumping credit scene like review check full review review aussieboyreviews,Positive
97,marvel movie end try hard enormous become visually impossible comprehend would like one superhero movie character think talk way threat humanity nevertheless one better attempt primarily well act origin story minimal amount heart soul thankful small mercy,Negative
98,let preface say enjoyment movie may dampered poor night sleep say middle minute film nearly fall asleep literally character development couldnt hook felt like keep revisit point positive note visuals martial art absolutely spectacular first act film contain martial art crisp wellchoreographed final act flex cgi dollas make already big budget stretch far impressive sight see marvel movie far movie didnt quite hit recommend people see theatre let tack tire go see anyway,Positive
99,marvel do much good lately horrible tv show bad tv show single good movie since captain marvel nothing seemingly good come horizon honest start give marvel produce magnificent movie great entertainment many year lately like magic come seem much run mill basic bore marvel feel marvel try introduce political correctness feminism nonsense diversity fail movie however failure movie simple point follow trope cliche classic hero journey exactly work marvel take classical story hear read see switch thing around keep marvel feel make play mainly china almost chinese actor work imagine sure find political nonsense look hard enough care great fight scene lovely scenery great basic story brilliant well write character even get villain understand sympathise even feel sting ah bad make action movie great stuff marvel point deduct due movie amaze pull hero journey sure also see do better sound great amaze direct great amaze etc etc everything movie high class greatly do well perform top amaze perfect also objection background story end keep spoiler free great movie highly entertain definitely worth ticket price go see get faith marvel restore,Positive
100,let commence say movie far one mostfun action pack marvel movie ever simu liu perfect marvel protagonist awkwafina deliver obligatory yet welcome dose humor youd come expect marvel presentation beyond movie rich mythology adventure incredible martial art combat cannot describe another phrase breathtaking introduction new character story wellwritten feel u start give move deserve marvel trust,Positive
101,,Neutral
102,im someone fan action movie im really even there deny action sequence brilliantly execute lot hit marvel movie although simu liu falter little bite lead man truly impressive cast support awkwafina brilliantly funny quippy always tony leung complex antagonist hero father depth film visual effect beyond beautiful remind ferngully nature observe child good stuff surprise cameo hilarious wholesome good see imax long cinema hiatus definitely check one,Positive
103,muchawaited shangi chi legend ten ring release today theatre follow journey shang chi simu liu son famed mcu villain mandarin revolt father fight evil first standalone film feature asian american superhero shang chi understandably stand close combat sequence actor especially simu liu undergo extensive martial art train show sensational sequence move bus san francisco another bamboo scaffold macau standouts awkwafina surprise return character mcu provide genuine sarcasmlaced comedy add another wonderful layer experience cameo benedict wong ronnie chieng also manage leave audience spit without stoop cultural appropriation allasian crew director destin daniel cretton pay rich tribute chinese heritage every turn hong kongs superstar tony leung michelle yeoh electric role fact dont seem lose step age ace action sequence show dedication performer regard one finest actor chinese cinema every produce tony leung stamp class film give engross captivate performance dread leader ten ring inner moral dilemma lovehate relationship child portray brilliantly man nickname small tiger among five tiger general hong kong cinema flashback sequence help build shang chi character intricately capture upbringing heirapparent genocidal megalomaniac despite want nothing father murderous tendency son inadvertently draw mandarin world violence carnage film delve mystical element towards climax two surpriseladen postcredit sequence tie doctor stranges world mystic art well possible connection ten ring alien technology always way weave individual fim character wonderful tapestry make phase joy due wellwritten character nuanced act performer shang chi stand eyecatching cgi elaborately chorographer action sequence add gloss end product another wonderful new addition mcu world hopefully pave way ethnicity represent universe time go highly recommend must watch marvel phase continue raise bar,Positive
104,disappoint marvel entry black widow shangchi return form movie marvel need bounce back solid performance great setpieces fun action sequence emotional depth humour type film need see big screen go along journey fantastical element also pace well intrigue runtime direction solid character get good amount screen time develop well place flashback sequence martial art fight pretty well do cgi creature look interest design good special effect overall well do didnt think marvel could keep go prove still make great stuff care,Positive
105,like many concern new marvel cinematic universe saga would trouble live previous standard shangchi already leave hopeful series future literally know nothing character find film debut solid superhero adventure well act effectively characterdriven occasionally funny rich cultural representation boom swift stylize martial art action hop go get black panther inclusivity interest world narrative im representation story character must pronounce find entry lot distinguish captivate although shangchi tread familiar origin story formula there fresh twist turn uniquely set character journey apart others though first half decently entertain identifiable drama fastpaced yet slightly derivative setpieces urban environment second half film really turn least chinese philosophy kick mythology abundant there ton visually strike imagery fantastical set load insane action choreography asian representation chain enrapture doesnt feel contrive sense great deal respect engage story unfold nice balance satisfy saw im really look forward see shangchis world itll tie story yettocome cool movie soulful cultural actionpacked,Positive
106,really look forward film excite see shang chi mcu start good interest father son character development film continue seem rely heavily cgi cgi felt bloat overwhelm act well do everyone film weak link hop film would ground plot like iron man,Positive
107,,Neutral
108,action camera work particular along cast impressive didnt like though couple throwaway nuisance character weird humor id say worth watch plus good see old marvel face,Positive
109,wow another marvel film yay im sure watch know ive see least time bore cliche superhero plot cheesy dialogue dull act see special effect im sure disney go figure make good film one like continue rake cash box office well inundate forever thats real shame,Positive
110,twelve year old love movie big bold colourful action pack fun funny fly dragon cranky codger say fly dragon sorry preteen peek highly unlikely fly dragon silly figment someone imagination movie fly dragon difficult take seriously sorry kid also shock news santa clause let save another day good news marvel step plate inclusivity transformation movie make also manage keep rest superhero universe ruin pretty good martial art film insert briefest brief marvel cameo keep important story arc thread usual studio support cast pretty sweet ben kingsley ringo accent absolutely slay ronnie chieng brief outrageous cameo absolutely slay awkwafina major cameo absolutely slay tony leung dark father ring master absolutely slay slay lot bad news let face fact may possible make good martial art movie thing get interest get fight sequence combatant absorb lethal blow magically fly backwards unscathed zero gravity time baby thing use do wire obvious oddly enough even cgi ready still get bizarre old school wire look homage limit lastly sadly rouse cast secondary character pretty well squeeze simu liu main character role kinda forgettable truth tell thats problem big problem really cool highlight shangchi like morph forest maze series disconnect sequence seem parachute integral story often case marvel universe someone art department go little crazy black panther robot rhino bizarre shimmer sequinned horse hybrid hornless unicorn nocorn oh cute furry wing animal get ready xmas plush toy stampede somehow survive without orifice really nothing go nothing go yet survive also communicate shame niggle detail ruin could grand cinematic experience epic epic proportion though relentlessly formulaic family affair nick shakespearian conflict culminate volcanic battle scene archery catapult sword uh oh yeah fly dragon marvel universe make stride especially dark moody black widow hilariously top pottymouthed deadpool shangchi heroic stray away usual mask hero tights genre need le lot le chop chop twelve year old rejoice,Positive
111,,Neutral
112,welcome addition mcu avenger come shangchi kungfus way top tier mcu territory especially come origin story perhaps generation crouch tiger hide dragon visual spectacle behold shangchi full beautiful creature costume martial art act probably best fight mcu make sense though cap winter soldier fight personal favourite real mandarin make debut disappoint tony chiuwai leung fantastic cast member likable well appearance mcu character include surprise one somewhat redeem refresh marvel superhero movie primarily focus ton potential jump right marvel storyline mcu still hold lot excitement future character like shangchi,Positive
113,nearly ten year inception marvel cinematic universe dominate adventure white men scarlett johanssons black widow fight get film year male costars get entire trilogy black panther reinvigorate franchise celebration african culture prove marvel brand didnt beige captain marvel become first mcu film front woman shangchi legend ten ring mark first asianled film film feature first asian protagonist also feature predominantly asian cast crew thankfully give franchise much need change perspective ten ring around nearly thousand year gift wearer wenwu immortality may rule unmatched strength century build empire blood wenwu turn away life violence ying li guardian mystical land ta lo heartbreak strike shortly wenwu pick ring cause go dark path son shangchi run away unite state ten year son must come home confront father become truly mean similar ryan coogler able black panther cowriterdirector destin daniel cretton bring best new world able handle mountain establish exposition use flashback may bite liberal especially film reach climax theyre use meaningfully build upon story focus character culture without lead act credit name simu liu take titular role storm navigate typical hero journey charm composure mix bite tchalla tony stark shangchi hero battle past future liu cretton strike great balance liu hand crettons material somber moment cretton let lius comedic instinct light room veteran tony leung bring melancholic energy wenwu role wong karwai particularly work mood love leung layer villain distance average world dominator carry stillness inspire fear compassion two thing make greatest villain overall narrative within marvel film evenly compose plot action thankfully cretton blend halve together imbue setpieces quality wuxia genre take film ang lee crouch tiger hide dragon also star michelle yeoh zhang yimous house fly dagger action often tell much story dialogue particularly gracefully dazzle open sequence there also room brutality first act end towerscaffolding brawl shangchis emotion turn raw killer since captain america winter soldier action impactful technical emotional level allow film shangchi quite spectacle get forcefully mold marvel film result le stellar even work story action cretton cant break free thirdact visual effect extravaganza hold franchise like iron vice shame smaller familial moment mind soul forgettable litany explosion encompass final thirty minute 25th film franchise ive come expect level disappointment thank multitalented cast crew shangchi legend ten ring one better origin story within marvel cinematic universe action may rightfully sell point heart film lie within character tell familiar story impressive scale,Positive
114,,Neutral
115,good movie even though wife dont usually like genre enjoy one nora lum steal movie look future film prettiest actress film fela chen even though play mother also ook future film,Positive
116,charm movie come set main character show reflection today world asian culture way life west create environment search one identity place meet shangchi simu liu first young adult try navigate life far away family city san francisco partner crime best female friend katy awkwafina simu lius character arc film significant although make solid protagonist character development de minimis awkwafina contrast steal film ordinary person catch epic power struggle trademark zinger bemuse quip make perfect foil escapist superhero world audience thrust mandarin tony leung chiuwai subtly effective marvel villain compel family backstory cinematic antagonist idealism righteous sense purpose since bill butcher gang new york michelle yeoh shangchis aunt jiang nan great fight scene stand wonderful performance crouch tiger hide dragon overall movie great fight scene extraordinary effect especially fly dragon delightful watch highly recommend everyone like superheroes touch mysterious fairytale,Positive
117,always fun go theater new mcu production chance see something new know well produce keep stretch share universe superheros shangchi look like phase well truly launch already glimpse marvel studio overall approach go like black widow marvel run jam bondtype film shangchi try chinese martial art thing result kind compromise westernize version fall two pole sure though youll entertain there enough action lot strikingly beautiful setting fun character forget midcredits scene one best theyve ever do totally worth stay thats quote put title come certain familiar character tell shangchi sure come join craziness usual thing toss baton forward whatever next production stylistically clever really stand film fill runtime whole lot material lot character maybe much third act particular veer onto fantasytype track doesnt entirely fit well previous hour half setup scene last section suddenly feel rush go day first iron man thor antman movie lean linear storyline single well define theme instead marvel seem want overstuff every one production even involve secondary mcu character turn epic bigger always better like cast marvel always impressive job bring good people nice see le major role female oppose male mix match well mostly young cast though think older pair tony leung michelle yeoh really stand effortlessly dominate screen leungs character could stock onedimensional scenerychewing villain he much nuanced simu liu lead role shangchi exactly great actor yet he athletic cute attractive sense humor role doesnt need much awkwafina katy usual turn comic relief side commentary dash romance trevor slattery ben kingsley come nowhere he absolutely place somehow work partly pet rise disney level cuteness phase first three cycle introduce use particular major character require fit avenger umbrella postavengers era schedule series release well see much diverse slate character story dont obviously fall single umbrella master plan something equivalent avenger hard see maybe theyll use new freedom show u interest story bigger universe,Positive
118,,Neutral
119,,Neutral
120,unlogical story plot luckily actor performance fight scene save movie simu liu akwafina great funny tony leung rank top bad guy mcu story rip action choreographer brad allan thank brad allan bring hk jackie chan fight style movie bring back lot memory,Positive
121,marvel back root one perfect film hell lot entertaing black widow far home big surprise film wont spoil yeah watch theater home watch nontheless great film heart soul,Positive
122,usually mcu movie forget soon exit theater one much emotional serious flaw entertain engage,Negative
123,,Neutral
124,cinema fire think partly katy crazy energy also bus fight scene incredible really get thing go funny movie laugh come audience frequently great time good story amaze visuals good comedy nice fight also ten ring action spectacular watch ten ring brutal major world event official start new mcu black widow prequel overall movie probably cinematic experience change game completely major cinematic experience star ðŸŒŸ ten ring ðŸ“€,Positive
125,shangchi character many others know little marvel case offer clean slate tell fresh story im happy say deliver marvel newest out kungfu superhero extravaganza fully build action set piece performance simu liu tony leung stand amongst pack offer great rich story marvel cinematic universe though film time feel bogged origin story trope direction destin daniel cretton overall charm cast story make film feel fresh lively im happy welcome crew ever grow mcu cannot wait see come next hopefully shangchi,Positive
126,crouch tiger hide dragon wax wax fight fight fight title annoyingly long movie exercise hohum perfunctory dot cross t wade shallow water whatever next batch uninspired marvel movie present collective global face become increasingly difficult feel old sense joy inspiration moviegoer use call movie magic maybe everything ohsomagical time crisp bloat minute worth seem almost impossible reveal spoiler movie plot could fit business card print large font something like hero show struggle midway overcome substantial adversity win sequel shangchi become part greater marvel cashcowiverse disney buy intellectual property make type thing feel like work one go show completely acceptable check one brain door movie become absolutely tedious ponderous even ponderous,Positive
127,top greatest marvel movie ever make choreography fight beautiful cgi beautiful story beautiful watch,Positive
128,yet another film appreciate actually like im really glad movie exist diverse character mcu film nail shangchi simu liu give great performance motivation isnt exactly clear character like good see origin movie great job give u somewhat compel character look forward see however character arent anywhere close good performance everyone good tony leung give great performance villain isnt great character wise really adore villain motivation finally get true villain motivate grief inability accept loss love one love refresh see story weak didnt engage much hard understand motivation anyone except villain plot progress quickly hard remember individual story beat kinda meld mcu film one thing stand visuals action sequence action sequence great like final battle others felt lackluster mix bag regard always visuals film great part occasional weird visual effect doesnt get absolutely horrible production design surprisingly great set look really cool obvious spend lot time really isnt lot say one hand lot great thing feel like standard marvel movie would recommend check still mcu,Positive
129,another amaze marvel film awesome visual effect think great job blend asian culture within film give secondtier marvel character,Positive
130,effectively origin story shangchi marry style superhero martial art film wonderfully add much need intrigue back marvel cinematic universe mcu legitimately enjoy movie try new thing one enjoyable mcu film however quote tip scale become one best mcu movie opinion time felt little fantastical like especially third act story visuals character pretty great find film mostly suffer end could ground reality happy though see shangchi add mcu,Positive
131,first question ask would movie even make first place one one try much ultimately fail everything start love story turn filthy rich asian end conventional action pic romantic feminist vibe terribly present throughout entire picture wouldnt bad movie trouble settle one single narrative almost like asian version rocky horror picture show typical current generation filmmaking another people run around thing movie market saturate sfx garbage movie summer full,Negative
132,,Neutral
133,mulan remake safe say thoroughly disappoint portrayal chinese culture even mystical sense felt like disaster one oh one much better actually impress felt like actually cater different market time someone unfamiliar chinese culture may find another marvel moviealbeit amaze one know treat something basically non existent hollywood film aka inside jokesdepth knowledge really help elevate film whole nother level,Positive
134,,Neutral
135,yeah really enjoyable film anything unique incrediblekind action definitely action far greatest part movie damn look sick choreography excellent fight fluid fast pace carry momentum throughout due vfx ofc good high budget film think movie mess bite villain villain isnt bad per say really bland unoriginal actually get really predictable towards end also end absolutely crazy dont get wrong crazy absolutely great top movie like take movie first section movie tho amaze middle chunkmeh final mehwowmeh soundtrack good side character stale comedy actually surprisingly good sometimes misplace serious scene thats ititsits good,Positive
136,usual marvel origin movie would predictable story check sarcastic tone awesome punchlinescheck end hype next moviecheck check necessary box top martial art awesome fast pace plot cgi pack stun visuals awesome score post credit like cherry top coolest marvel superhero origin yet,Positive
137,seamlessly combine modern martial art fantasy asian mythology without cringedull moment make different kind mcu movie entertain international audience mind back forth narrative problem destin daniel cretton successfully put humor heart right time place thank scintillate cast light screen especially charismatic tony leung chemistry simu awkwafina besties undeniably good action scene include cgi work definitely make nice highlight go watch imax give better experience sure ðŸ˜,Positive
138,movie great entertain fast pace unique many thing like film first love character shangchi katy xu wenwu xialing razor fist death dealer return trevor slattery morris course master guang bo actor character also perfect suit role perfectly opinion movie best support character mcu also love action absolutely amaze point movie felt like watch martial art movie stunt choreography perfect couldnt ask anything effect movie also stun move forest mythical creature especially dragon effect use ten ring super cool effect movie best mcu lastly also love plot sit really well movie like nothing ever see mcu unique nice twist marvel first credit scene also interest might set phase mcu great movie definitely recommend go see even arent marvel fan,Positive
139,one beautiful marvel film yet top visual effect fight scene top level interessting see shangchi fit mcu whem see next btw wong legend yeah probably go nowooor,Positive
140,hard believe destin daniel cretton direct film complete contrast previous work tony leung chiu wai reason watch movie arent sucker superhero movie shang chi prove scorceses point marvel movie despite surprisingly entertain good see major blockbuster nonusa centric point view shang chi best movement time humour martial art fight scene end movie theme park ride eye soar vfx two dragon supposedy fight dont know due excess use colour whole shang chi typical summer blockbuster bind entertain demographic linear storyline utilisation tony leung chiu wais talent bite underwhelming,Positive
141,,Neutral
142,visually one beautiful movie mcu one best solo super hero movie mcu grand feat debut even without superheroes like crutch performance make justice script show u end game contrary believe wasnt end marvel era phase promise even greater others quality easily compare black panter captain america winter soldier level engage right dose comedy battle film impressive fight choreography credit scene make connection shangchi story mcu curious way cant wait see feige plan future,Positive
143,ive watch marvel film year almost always enjoy often come underwhelmed shang chi actually manage pleasantly surprise think drag slightly third act really enjoy film manage balance humour seriousness far better marvel property also incorporate aspect film without feel force instead add worldbuilding action possibly best marvel film obviously take lot influence jackie chan film believe stunt coordinator work chan past act good simu liu really shin wasnt massive fan awkwafinas character start find like development final act think shang chi manage take work well mcu polish doesnt mean without flaw enjoy emotional link villain shang chi think far many flash back tell u relationship develop also think third act bite let action evolve pretty basic cgi fight personal edge lend well rivalry shang chi win wu lose also big plot hole thing dont make sense score underwhelming im massive fan villain costume design however film flaw still enjoyable movie likely watch cast good cinematography different usual stuff mcu offer like marvel didnt shy away use lot subtitle character speak lot chinese enjoyable id recommend marvel fan,Positive
144,big disappointment black widow safe say anticipate better out shang chi thankfully live action film biggest plus point best scene show choreography brilliant alongside kung fujohn wick style fight visuals typical marvel film solid always film however lose emotional resonance write heart film mainly come screenplay felt write slightly lazy part heart fade neither perfect terrible film solid one enjoy even hard truly gravitate towards character quote welcome circus wong rat,Positive
145,mcu get repetitive train movie new asian epic inspire new generation,Positive
146,really hop like shangchi couldnt mainly three reason first one severe fact find bore especially last hour spend time hop could ability skip second like youtube second problem fact shangchi interest character far movie treat surely potential clear marvel high future still hope movie think prefer least four character protagonist finally plot various hole especially regard ten ring criminal organization visuals action good wasnt enough like movie p midcredit scene best movie really like one,Positive
147,first think people overhyping film bite like black panther best mcu origin film ever hell atleast better origin story exist there lot good thing shangchi differentiate film normal mcu film visuals breathtakingly beautiful unlike mcu film see tone film resemble chinese action movie rather mcu refresh first fight scene incredible get super hype quality fall later scene become cgi monsterfest story predictable full narration exposition core emotional family drama dialogue powerful enough dig really deep crave many scene performance solid awkwafina ben kingsley provide great comedic relief standout tony leung generate level empathy emotional suffer eye legend overall really fun watch great people shout,Positive
148,,Neutral
149,feel like mash old movie anc plot weave one film didnt enjoy much positive overall didnt leave feel like id see something special didnt feel like marvel film im diversity go different direction wasnt film love would see character bland uninspiring humour ok bite old old plot id guess youd call main theme felt bite daft cgi awesome graphic choreography costume really nice part genuinely beautiful film aint much doesnt matter think lot would hinge whether get gimmick like didnt cool set piece want achieve movie felt werent something think interest impressive always go one way pretty predictable didnt feel believe emotion find story bite stupid felt directionless try much whilst achieve little felt long much longer run time wasnt film id recommend one felt disappoint maybe backwards though everyones say make black widow dont get think black widow brilliant way better also seem asian bite funny everyone call awkwafina,Positive
150,latest flick mcu shangchi magnificently assemble stellar cast like crazy rich asian star awkwafina michelle yeoh combine interest performance tony leung villainous mandarin simu liu lead welcome addition marvel family martial art skill add evergrowing universe visuals fight choreography interest soundtrack boot make think like martial art fantasy film rather typical marvel movie also take notice moral value quirk usually see asian family begin remind recent film crazy rich way term value heritage root learn past doesnt dictate become many year later san diego comiccon simu liu speak like part marvel humble speak ive see movie make sense say panel cite black panther chadwick boseman respect influence take lead role chadwick help open door take make audience look like thats transpire mcu since cant wait see else shangchi go next recommend,Positive
151,,Neutral
152,,Neutral
153,good action movie excel deliver best fight scene marvel cinematic universe thankfully nice long take fix shot camera spin around there great energy fight first bus scene stand even background actor little comfortable whats happen final fight great also really like see chinese mythological creature full expensive hollywood glory im chinese fascinate difference western eastern mythical creature really get kick bad unfortunately lot meh bad simu liu fine similar captain marvel black panther discernible character feel like sidekick movie movie juggle many mostly pointless character lose sight core character obvious emotional arc film awkwafina mostly pretty superfluous unnecessary sister iswell people movie main villain play legendary tony leung watchable welltony leung dont want call mandarin even though name primary chinese language butokay movie make fun iron man 2 whitewash sayben kingsley lot better version pretty bland pointless course there second villain nondescript nameless dragon creature get big stupid cg fight end marvel ya movie also arrange baffle way numerous flashback happen minute late movie also drag lot middle honest barely remember happen saw movie last night ugly know movie win asian representation movie almost entirely chinesecbcabc cast look mean set mostly china dialog mandarin highest gross movie north america meaningful get maybe watch lot east asian cinema already fact alone isnt enough personally mediocre movie dont think give big studio pas representation important,Positive
154,one real standouts movie fight scene mcu really know interest fight scene really bland clichÃ© shangchi bring something new love every single fight scene well do pace super well destin daniel cretton direct amaze job direct fight scene movie fight scene movie probably best part especially since tell actor movie especially simu liu stunt work also insane think movie simu liu really act one thing could barely tell play shangchi well bring much emotion everybody easily relate love honestly everybody amaze job act movie say skeptical awkwafina play katy prove wrong real scenestealer tony chiuwai leung play xu wenwu villain villain marvel movie mediocre best decide change movie xu wenwu intrigue villain audience easily sympathize relate cinematography movie gorgeous look see detail put depend movie light reflect area say though movie bite slower pace time work favour part much want movie hurry end shangchi heartfelt marvel movie issue still enjoyable,Positive
155,awakafina ruin another movie act baaaad funny movie pretty bore much cgi make one head hurt see didnt accept movie china baaaad k thank byeeee,Positive
156,rarely disappoint marvel film consider big fan likely enjoy film certainly better last installment small margin film proof others really arent fresh idea anymore marvel antic get rather bore good guy lackluster personality family issue turn he important guy world impressive ability hone discover thing someone close betray make big decision engage climactic fight end movie cookiecutter marvel predictable pomp circumstance flashy light many redeem quality let start first choreography slicknasty move fight scene action scene entertain fight certainly one thing marvel rarely disappoint humor another typical trait marvel film get good chuckle however without awkwafina trait would almost nonexistent come someone usually doesnt care smarky humor latest generation rather funny without annoy sarcastic special effect cinematography solid work obviously didnt downsize sfx department compare bar set previous movie marvel world impressive unflattering trait story woof predictable dont expect much anything could easily hold write competition average middle school student write basic action movie script storyline film would probably entry kid 3rd place character aside select character flat pancake hydraulic press humor action mention earlier pro time get old towards end attempt humor start fall short goal action become stale time wrap dynasty marvel movie move onto something else start smell like discard scrap reuse idea accumulate maggot banality,Positive
157,typical cheesiness every marvel movie enjoy marvel movie already know go open certain degree unseriousness enjoy say think shang chi actually one stronger marvel movie ive see become cheesy dragon fight scene top notch act strong awkwafina hilarious overall solid movie best stronger,Positive
